sequence,frame,trans_px,rot_deg,zoom_abs,inliers,features
Basketball,118,13.203,0.0640,0.00015,190,272
Basketball,119,17.343,2.4374,0.00061,191,268
Basketball,120,16.245,2.3028,0.00002,193,269
Basketball,121,13.575,0.1340,0.00036,185,256
Basketball,122,13.133,0.0634,0.00006,178,258
Basketball,123,16.092,2.3029,0.00025,180,261
Basketball,124,12.665,0.1400,0.00073,181,262
Basketball,125,12.400,0.0662,0.00004,183,295
Basketball,126,12.348,0.1169,0.00015,218,277
Basketball,127,14.893,2.1664,0.00080,202,273
Basketball,128,12.241,0.0241,0.00035,197,261
Basketball,129,12.536,0.1105,0.00049,186,266
Basketball,130,11.899,0.0329,0.00028,194,271
Basketball,131,11.979,0.0766,0.00001,199,274
Basketball,132,11.435,0.0404,0.00015,200,268
Basketball,133,11.057,0.0566,0.00000,197,276
Basketball,134,10.627,0.0661,0.00034,209,273
Basketball,135,10.739,0.0704,0.00037,207,276
Basketball,136,10.472,0.0754,0.00001,205,281
Basketball,137,10.421,0.0383,0.00022,213,311
Basketball,138,10.250,0.0904,0.00033,239,306
Basketball,139,10.215,0.0647,0.00048,233,294
Basketball,140,10.051,0.0779,0.00027,223,294
Basketball,141,10.373,0.1360,0.00048,226,288
Basketball,142,9.839,0.0477,0.00028,220,277
Basketball,143,10.245,0.1199,0.00018,209,291
Basketball,144,10.171,0.1310,0.00014,220,291
Basketball,145,9.780,0.0958,0.00035,222,282
Basketball,146,9.781,0.0955,0.00022,207,277
Basketball,147,9.175,0.0543,0.00018,208,284
Basketball,148,8.933,0.0650,0.00061,214,282
Basketball,149,9.337,0.0836,0.00059,211,323
Basketball,150,9.232,0.0670,0.00006,246,306
Basketball,151,9.426,0.0787,0.00023,236,299
Basketball,152,9.319,0.1120,0.00015,234,290
Basketball,153,9.547,0.0858,0.00050,226,289
Basketball,154,9.669,0.1079,0.00044,222,287
Basketball,155,9.862,0.1435,0.00001,215,290
Basketball,156,9.884,0.1087,0.00001,213,278
Basketball,157,10.026,0.1420,0.00045,211,286
Basketball,158,9.699,0.1040,0.00017,215,276
Basketball,159,11.972,1.6561,0.00085,211,286
Basketball,160,9.230,0.1095,0.00040,210,290
Basketball,161,9.165,0.1236,0.00001,211,328
Basketball,162,8.987,0.0597,0.00063,261,315
Basketball,163,9.200,0.1923,0.00043,245,300
Basketball,164,9.218,0.1355,0.00010,239,315
Basketball,165,9.491,0.0932,0.00003,244,304
Basketball,166,9.336,0.1206,0.00012,241,296
Basketball,167,9.425,0.0953,0.00016,232,303
Basketball,168,9.268,0.0609,0.00013,233,300
Basketball,169,9.377,0.1463,0.00009,230,301
Basketball,170,9.141,0.1079,0.00027,235,305
Basketball,171,8.647,0.1261,0.00022,240,305
Basketball,172,8.305,0.0628,0.00013,235,314
Basketball,173,7.745,0.0565,0.00010,239,343
Basketball,174,7.437,0.1008,0.00003,264,340
Basketball,175,8.543,1.0173,0.00030,270,339
Basketball,176,7.040,0.0879,0.00032,262,327
Basketball,177,6.794,0.0781,0.00006,254,316
Basketball,178,6.601,0.1391,0.00022,246,325
Basketball,179,7.479,0.8436,0.00011,271,325
Basketball,180,6.028,0.1379,0.00048,250,326
Basketball,181,6.320,0.6120,0.00054,283,313
Basketball,182,6.838,0.8850,0.00061,250,320
Basketball,183,6.064,0.7691,0.00001,264,331
Basketball,184,5.128,0.5509,0.00105,295,333
Basketball,185,5.438,0.6796,0.00070,282,378
Basketball,186,4.778,0.0997,0.00042,308,369
Basketball,187,5.086,0.5187,0.00063,339,369
Basketball,188,5.155,0.4339,0.00003,324,372
Basketball,189,4.880,0.5269,0.00053,340,360
Basketball,190,5.645,0.7477,0.00060,295,365
Basketball,191,5.948,0.7108,0.00118,299,383
Basketball,192,4.841,0.4139,0.00018,344,379
Basketball,193,5.664,0.6077,0.00110,308,380
Basketball,194,4.856,0.4433,0.00040,336,387
Basketball,195,4.330,0.1447,0.00000,301,389
Basketball,196,4.089,0.0156,0.00027,292,401
Basketball,197,5.675,0.6501,0.00180,323,435
Basketball,198,4.291,0.2876,0.00022,375,413
Basketball,199,4.622,0.4926,0.00011,356,410
Basketball,200,4.224,0.4993,0.00082,340,402
Basketball,201,3.763,0.4037,0.00063,323,404
Basketball,202,4.041,0.1849,0.00018,325,398
Basketball,203,4.239,0.3796,0.00012,354,398
Basketball,204,4.801,0.4996,0.00083,341,371
Basketball,205,3.950,0.4147,0.00034,323,382
Basketball,206,4.128,0.3779,0.00010,334,387
Basketball,207,4.173,0.4568,0.00008,331,379
Basketball,208,4.319,0.4735,0.00032,326,367
Basketball,209,3.630,0.2078,0.00021,289,417
Basketball,210,3.748,0.3984,0.00026,373,391
Basketball,211,3.259,0.2709,0.00024,345,406
Basketball,212,3.323,0.3423,0.00022,368,401
Basketball,213,2.829,0.2787,0.00041,352,403
Basketball,214,3.044,0.3355,0.00027,364,385
Basketball,215,3.055,0.3250,0.00046,342,399
Basketball,216,2.856,0.2644,0.00017,348,385
Basketball,217,3.301,0.3554,0.00058,344,383
Basketball,218,3.268,0.3246,0.00012,351,390
Basketball,219,2.900,0.2566,0.00049,344,383
Basketball,220,2.954,0.2934,0.00055,347,380
Basketball,221,2.912,0.2884,0.00034,343,424
Basketball,222,2.593,0.2732,0.00017,383,417
Basketball,223,1.989,0.1245,0.00055,375,404
Basketball,224,2.109,0.1652,0.00045,368,406
Basketball,225,2.006,0.1740,0.00020,370,420
Basketball,226,1.951,0.1745,0.00066,389,412
Basketball,227,1.855,0.2251,0.00039,361,406
Basketball,228,1.725,0.1256,0.00084,379,398
Basketball,229,1.552,0.1497,0.00024,372,402
Basketball,230,1.494,0.1578,0.00033,373,404
Basketball,231,1.377,0.1343,0.00049,368,403
Basketball,232,1.348,0.1036,0.00033,362,398
Basketball,233,1.344,0.1418,0.00002,365,456
Basketball,234,1.099,0.0680,0.00007,412,412
Basketball,235,1.220,0.1045,0.00042,401,401
Basketball,236,1.250,0.1000,0.00049,397,420
Basketball,237,1.312,0.1100,0.00056,388,400
Basketball,238,1.176,0.1422,0.00051,363,407
Basketball,239,1.450,0.1696,0.00004,384,401
Basketball,240,1.421,0.1390,0.00041,356,395
Basketball,241,1.338,0.1576,0.00005,362,398
Basketball,242,1.681,0.2138,0.00042,380,406
Basketball,243,1.558,0.1893,0.00023,375,390
Basketball,244,1.466,0.2425,0.00029,350,391
Basketball,245,1.579,0.1666,0.00018,354,427
Basketball,246,1.712,0.1653,0.00029,393,413
Basketball,247,1.728,0.1249,0.00005,371,397
Basketball,248,1.937,0.1399,0.00008,358,394
Basketball,249,1.783,0.0640,0.00015,314,393
Basketball,250,2.068,0.0921,0.00033,358,389
Basketball,251,2.219,0.1392,0.00059,359,398
Basketball,252,2.325,0.1051,0.00041,365,406
Basketball,253,2.497,0.1070,0.00014,382,410
Basketball,254,2.450,0.2117,0.00080,364,398
Basketball,255,2.654,0.2014,0.00040,358,403
Basketball,256,2.686,0.2957,0.00102,351,385
Basketball,257,2.781,0.0207,0.00008,337,417
Basketball,258,2.617,0.0747,0.00031,361,399
Basketball,259,2.716,0.1952,0.00137,326,395
Basketball,260,2.995,0.0393,0.00000,350,390
Basketball,261,3.172,0.0603,0.00038,345,393
Basketball,262,3.032,0.0654,0.00003,348,389
Basketball,263,3.040,0.1440,0.00063,337,386
Basketball,264,3.387,0.1040,0.00038,341,391
Basketball,265,3.402,0.0936,0.00010,348,389
Basketball,266,3.631,0.1263,0.00036,341,385
Basketball,267,3.829,0.1482,0.00046,342,379
Basketball,268,3.679,0.1264,0.00040,338,385
Basketball,269,3.618,0.0353,0.00032,325,422
Basketball,270,3.559,0.0364,0.00007,355,394
Basketball,271,4.394,0.3178,0.00091,331,399
Basketball,272,3.891,0.1525,0.00058,355,384
Basketball,273,3.735,0.0068,0.00027,316,394
Basketball,274,3.904,0.1487,0.00061,347,380
Basketball,275,3.741,0.0210,0.00007,313,379
Basketball,276,3.692,0.0178,0.00009,313,378
Basketball,277,3.973,0.1364,0.00005,346,385
Basketball,278,3.926,0.1579,0.00025,350,393
Basketball,279,3.728,0.0126,0.00006,317,388
Basketball,280,3.791,0.0563,0.00015,326,377
Basketball,281,3.684,0.0151,0.00017,307,418
Basketball,282,3.540,0.0283,0.00021,354,391
Basketball,283,3.825,0.0251,0.00038,323,392
Basketball,284,3.718,0.0330,0.00013,326,391
Basketball,285,3.956,0.1816,0.00022,336,389
Basketball,286,3.805,0.0264,0.00034,321,383
Basketball,287,3.831,0.1271,0.00024,347,377
Basketball,288,3.750,0.1556,0.00031,330,391
Basketball,289,3.384,0.0197,0.00042,333,394
Basketball,290,3.004,0.0993,0.00022,369,385
Basketball,291,2.642,0.0854,0.00004,360,401
Basketball,292,2.228,0.0958,0.00021,382,396
Basketball,293,1.856,0.0634,0.00037,374,417
Basketball,294,1.078,0.0494,0.00039,379,409
Basketball,295,1.615,0.0682,0.00041,381,415
Basketball,296,1.262,0.0423,0.00018,383,413
Basketball,297,1.255,0.0645,0.00047,381,394
Basketball,298,0.881,0.0460,0.00017,365,408
Basketball,299,0.933,0.0527,0.00027,384,399
Basketball,300,1.002,0.0465,0.00051,378,392
Basketball,301,0.711,0.0289,0.00033,369,397
Basketball,302,0.688,0.0221,0.00019,378,394
Basketball,303,0.815,0.0271,0.00033,380,394
Basketball,304,0.726,0.0144,0.00034,368,396
Basketball,305,0.742,0.0157,0.00064,372,416
Basketball,306,0.748,0.0071,0.00044,384,418
Basketball,307,0.651,0.0136,0.00067,384,417
Basketball,308,0.490,0.0196,0.00052,373,420
Basketball,309,0.485,0.0230,0.00041,375,418
Basketball,310,0.218,0.0199,0.00048,380,413
Basketball,311,0.477,0.0108,0.00065,375,408
Basketball,312,0.612,0.0170,0.00065,365,410
Basketball,313,0.544,0.0051,0.00088,374,406
Basketball,314,0.557,0.0261,0.00060,355,396
Basketball,315,0.618,0.0313,0.00053,343,400
Basketball,316,0.838,0.0313,0.00063,361,400
Basketball,317,0.874,0.0143,0.00071,366,430
Basketball,318,0.767,0.0101,0.00054,380,421
Basketball,319,1.119,0.0126,0.00077,367,416
Basketball,320,0.882,0.0463,0.00014,356,419
Basketball,321,0.917,0.0171,0.00047,375,424
Basketball,322,0.929,0.0203,0.00039,377,418
Basketball,323,0.821,0.0410,0.00033,373,410
Basketball,324,1.053,0.0227,0.00050,374,415
Basketball,325,1.076,0.0426,0.00056,376,423
Basketball,326,1.076,0.0240,0.00037,384,408
Basketball,327,1.368,0.0374,0.00062,385,407
Basketball,328,1.297,0.0404,0.00044,376,410
Basketball,329,1.327,0.0622,0.00055,379,432
Basketball,330,1.963,0.1149,0.00125,389,423
Basketball,331,1.554,0.0681,0.00072,388,418
Basketball,332,1.422,0.0630,0.00047,380,416
Basketball,333,1.654,0.0758,0.00061,376,415
Basketball,334,1.731,0.0581,0.00069,381,411
Basketball,335,1.849,0.0624,0.00077,383,405
Basketball,336,1.860,0.0834,0.00084,374,421
Basketball,337,1.552,0.0649,0.00050,387,430
Basketball,338,1.726,0.0913,0.00075,407,407
Basketball,339,1.777,0.0672,0.00072,390,416
Basketball,340,1.706,0.0995,0.00074,399,412
Basketball,341,1.667,0.0649,0.00049,383,427
Basketball,342,1.478,0.0485,0.00048,402,402
Basketball,343,1.410,0.0522,0.00048,396,412
Basketball,344,1.377,0.0462,0.00042,389,432
Basketball,345,1.513,0.0759,0.00058,411,411
Basketball,346,1.360,0.0816,0.00059,405,405
Basketball,347,1.302,0.0698,0.00049,404,404
Basketball,348,0.997,0.0658,0.00025,400,400
Basketball,349,1.067,0.0632,0.00036,398,434
Basketball,350,0.802,0.0370,0.00000,430,430
Basketball,351,0.942,0.0457,0.00011,428,428
Basketball,352,0.869,0.0409,0.00016,427,427
Basketball,353,0.895,0.0488,0.00005,423,423
Basketball,354,0.623,0.0389,0.00006,422,422
Basketball,355,0.716,0.0566,0.00006,417,417
Basketball,356,0.702,0.0547,0.00010,416,416
Basketball,357,0.624,0.0501,0.00002,414,414
Basketball,358,0.649,0.0557,0.00011,412,412
Basketball,359,0.737,0.0484,0.00002,410,410
Basketball,360,0.771,0.0700,0.00001,407,407
Basketball,361,0.732,0.0384,0.00007,403,403
Basketball,362,0.845,0.0576,0.00016,402,402
Basketball,363,1.009,0.0649,0.00013,401,401
Basketball,364,0.738,0.0313,0.00018,400,400
Basketball,365,0.859,0.0365,0.00013,398,483
Basketball,366,1.027,0.0471,0.00036,449,449
Basketball,367,0.854,0.0229,0.00018,447,447
Basketball,368,0.832,0.0262,0.00026,446,446
Basketball,369,0.969,0.0360,0.00024,446,446
Basketball,370,0.738,0.0115,0.00013,445,445
Basketball,371,0.803,0.0300,0.00007,444,444
Basketball,372,0.675,0.0270,0.00007,434,434
Basketball,373,0.735,0.0239,0.00011,432,432
Basketball,374,0.669,0.0220,0.00002,432,432
Basketball,375,0.881,0.0403,0.00018,431,431
Basketball,376,0.695,0.0307,0.00008,429,429
Basketball,377,0.815,0.0301,0.00011,428,428
Basketball,378,0.662,0.0243,0.00016,427,427
Basketball,379,0.691,0.0319,0.00001,426,426
Basketball,380,0.625,0.0266,0.00002,425,425
Basketball,381,0.574,0.0262,0.00000,425,425
Basketball,382,0.522,0.0267,0.00003,423,423
Basketball,383,0.743,0.0382,0.00011,417,417
Basketball,384,0.551,0.0168,0.00001,415,415
Basketball,385,0.814,0.0319,0.00024,414,414
Basketball,386,0.745,0.0323,0.00012,413,413
Basketball,387,0.679,0.0334,0.00002,413,413
Basketball,388,0.651,0.0303,0.00015,412,412
Basketball,389,0.769,0.0409,0.00003,412,412
Basketball,390,0.519,0.0254,0.00004,412,412
Basketball,391,0.681,0.0377,0.00008,412,412
Basketball,392,0.701,0.0496,0.00005,411,411
Basketball,393,0.719,0.0428,0.00015,409,409
Basketball,394,0.596,0.0462,0.00005,407,407
Basketball,395,0.702,0.0486,0.00005,406,406
Basketball,396,0.649,0.0376,0.00010,405,405
Basketball,397,0.753,0.0524,0.00001,405,405
Basketball,398,0.583,0.0408,0.00013,404,404
Basketball,399,0.911,0.0634,0.00005,401,401
Basketball,400,0.848,0.0497,0.00002,401,401
Basketball,401,0.727,0.0320,0.00010,397,495
Basketball,402,0.897,0.0533,0.00025,486,486
Basketball,403,0.813,0.0488,0.00015,476,476
Basketball,404,0.591,0.0294,0.00007,473,473
Basketball,405,0.534,0.0380,0.00003,473,473
Basketball,406,0.605,0.0425,0.00005,472,472
Basketball,407,0.635,0.0320,0.00012,469,469
Basketball,408,0.650,0.0293,0.00008,466,466
Basketball,409,0.670,0.0225,0.00011,466,466
Basketball,410,0.763,0.0348,0.00020,463,463
Basketball,411,0.708,0.0202,0.00001,459,459
Basketball,412,0.769,0.0347,0.00001,458,458
Basketball,413,0.725,0.0314,0.00002,457,457
Basketball,414,0.553,0.0288,0.00014,453,453
Basketball,415,0.559,0.0339,0.00010,451,451
Basketball,416,0.533,0.0416,0.00013,449,449
Basketball,417,0.568,0.0370,0.00008,448,448
Basketball,418,0.447,0.0300,0.00016,445,445
Basketball,419,0.337,0.0349,0.00027,442,442
Basketball,420,0.156,0.0133,0.00035,441,441
Basketball,421,0.445,0.0435,0.00032,440,440
Basketball,422,0.227,0.0222,0.00031,440,440
Basketball,423,0.194,0.0136,0.00024,439,439
Basketball,424,0.365,0.0191,0.00016,437,437
Basketball,425,0.414,0.0211,0.00023,435,435
Basketball,426,0.497,0.0158,0.00012,427,427
Basketball,427,0.550,0.0091,0.00002,425,425
Basketball,428,0.569,0.0181,0.00009,422,422
Basketball,429,0.642,0.0206,0.00008,417,417
Basketball,430,0.633,0.0177,0.00003,414,414
Basketball,431,0.591,0.0115,0.00012,411,411
Basketball,432,0.661,0.0197,0.00008,408,408
Basketball,433,0.569,0.0129,0.00004,404,404
Basketball,434,0.539,0.0026,0.00002,400,400
Basketball,435,0.599,0.0079,0.00004,399,489
Basketball,436,0.527,0.0061,0.00000,468,468
Basketball,437,0.451,0.0072,0.00021,463,463
Basketball,438,0.462,0.0055,0.00015,462,462
Basketball,439,0.541,0.0019,0.00015,456,456
Basketball,440,0.561,0.0130,0.00026,434,434
Basketball,441,0.435,0.0068,0.00009,433,433
Basketball,442,0.595,0.0167,0.00030,432,432
Basketball,443,0.655,0.0162,0.00018,432,432
Basketball,444,0.590,0.0099,0.00046,424,424
Basketball,445,0.593,0.0133,0.00038,418,418
Basketball,446,0.728,0.0399,0.00051,417,417
Basketball,447,0.940,0.0436,0.00074,414,414
Basketball,448,0.728,0.0421,0.00055,410,410
Basketball,449,0.786,0.0510,0.00046,407,407
Basketball,450,0.852,0.0658,0.00057,407,407
Basketball,451,0.834,0.0603,0.00049,404,404
Basketball,452,0.896,0.0649,0.00056,398,502
Basketball,453,1.061,0.0868,0.00083,477,477
Basketball,454,0.739,0.0289,0.00035,456,456
Basketball,455,1.032,0.0348,0.00075,447,447
Basketball,456,1.034,0.0108,0.00064,434,434
Basketball,457,0.882,0.0286,0.00041,429,429
Basketball,458,0.788,0.0413,0.00036,411,411
Basketball,459,1.178,0.0754,0.00074,399,499
Basketball,460,1.043,0.0652,0.00061,444,444
Basketball,461,0.789,0.0235,0.00030,427,427
Basketball,462,0.927,0.0522,0.00056,423,423
Basketball,463,1.242,0.0652,0.00075,417,417
Basketball,464,1.075,0.0605,0.00045,409,409
Basketball,465,1.264,0.0987,0.00053,397,504
Basketball,466,1.224,0.0779,0.00050,454,454
Basketball,467,1.403,0.0809,0.00063,446,446
Basketball,468,1.482,0.0777,0.00084,439,439
Basketball,469,1.257,0.0673,0.00045,425,425
Basketball,470,1.206,0.0872,0.00048,424,424
Basketball,471,1.301,0.0497,0.00076,404,404
Basketball,472,1.253,0.0728,0.00056,398,483
Basketball,473,1.189,0.0930,0.00048,434,434
Basketball,474,1.090,0.0861,0.00063,430,430
Basketball,475,1.129,0.0792,0.00054,426,426
Basketball,476,0.752,0.0238,0.00032,423,423
Basketball,477,0.628,0.0313,0.00006,423,423
Basketball,478,0.686,0.0403,0.00015,417,417
Basketball,479,0.813,0.0457,0.00029,414,414
Basketball,480,0.568,0.0166,0.00023,413,413
Basketball,481,0.573,0.0281,0.00002,408,408
Basketball,482,0.518,0.0307,0.00005,401,401
Basketball,483,0.600,0.0304,0.00004,399,478
Basketball,484,0.522,0.1114,0.00012,436,436
Basketball,485,0.672,0.0096,0.00002,420,420
Basketball,486,0.822,0.0046,0.00017,417,417
Basketball,487,0.949,0.0028,0.00018,413,413
Basketball,488,1.189,0.0295,0.00024,411,411
Basketball,489,1.551,0.0519,0.00012,410,410
Basketball,490,1.818,0.1034,0.00005,402,402
Basketball,491,2.478,0.1363,0.00015,394,502
Basketball,492,3.659,0.2809,0.00009,433,433
Basketball,493,4.282,0.3178,0.00025,407,407
Basketball,494,4.298,0.0369,0.00064,356,488
Basketball,495,5.274,0.1285,0.00071,396,503
Basketball,496,5.084,0.0620,0.00021,405,405
Basketball,497,4.894,0.0013,0.00040,383,528
Basketball,498,5.064,0.0533,0.00064,439,439
Basketball,499,4.799,0.0342,0.00034,417,417
Basketball,500,4.777,0.0165,0.00049,393,471
Basketball,501,4.886,0.0465,0.00049,398,478
Basketball,502,5.552,0.2472,0.00081,406,406
Basketball,503,5.005,0.0551,0.00061,388,462
Basketball,504,6.186,0.5168,0.00151,377,457
Basketball,505,5.105,0.0594,0.00017,363,457
Basketball,506,6.173,0.4161,0.00136,400,400
Basketball,507,6.034,0.4214,0.00102,378,453
Basketball,508,4.886,0.1128,0.00156,381,434
Basketball,509,6.169,0.4802,0.00144,387,467
Basketball,510,4.785,0.0596,0.00115,397,443
Basketball,511,4.121,0.2181,0.00165,386,435
Basketball,512,5.044,0.3944,0.00103,389,439
Basketball,513,3.955,0.0213,0.00083,373,437
Basketball,514,3.904,0.0303,0.00073,376,432
Basketball,515,4.344,0.2987,0.00094,392,436
Basketball,516,4.108,0.3673,0.00060,382,429
Basketball,517,3.176,0.1378,0.00115,365,430
Basketball,518,3.875,0.2704,0.00074,391,433
Basketball,519,4.250,0.2747,0.00115,401,401
Basketball,520,4.238,0.3883,0.00069,373,429
Basketball,521,4.159,0.3343,0.00081,385,456
Basketball,522,4.116,0.2471,0.00092,417,417
Basketball,523,3.780,0.2263,0.00078,410,410
Basketball,524,3.156,0.0175,0.00083,373,435
Basketball,525,3.259,0.1737,0.00113,408,408
Basketball,526,2.967,0.2076,0.00076,395,432
Basketball,527,3.018,0.1452,0.00107,400,400
Basketball,528,2.795,0.1167,0.00110,390,426
Basketball,529,2.809,0.0146,0.00166,404,404
Basketball,530,2.700,0.0844,0.00112,387,424
Basketball,531,2.516,0.1174,0.00087,391,429
Basketball,532,2.336,0.0750,0.00094,396,430
Basketball,533,2.219,0.1417,0.00062,387,454
Basketball,534,1.888,0.0514,0.00065,417,417
Basketball,535,1.946,0.0840,0.00068,414,414
Basketball,536,1.945,0.1013,0.00074,405,405
Basketball,537,1.966,0.1114,0.00075,404,404
Basketball,538,1.603,0.0572,0.00079,404,404
Basketball,539,1.703,0.0852,0.00080,400,400
Basketball,540,1.539,0.0690,0.00052,395,414
Basketball,541,1.768,0.0485,0.00111,393,420
Basketball,542,1.772,0.0454,0.00130,403,403
Basketball,543,1.497,0.0366,0.00103,394,412
Basketball,544,1.322,0.0142,0.00103,399,405
Basketball,545,1.152,0.0127,0.00117,390,442
Basketball,546,0.937,0.0129,0.00088,415,415
Basketball,547,0.791,0.0163,0.00038,413,413
Basketball,548,0.874,0.0106,0.00069,413,413
Basketball,549,0.666,0.0234,0.00061,409,409
Basketball,550,0.785,0.0179,0.00056,407,407
Basketball,551,0.763,0.0060,0.00064,402,402
Basketball,552,0.811,0.0515,0.00077,402,402
Basketball,553,0.524,0.0637,0.00043,400,400
Basketball,554,0.675,0.0517,0.00070,399,390
Basketball,555,0.922,0.0498,0.00102,375,398
Basketball,556,0.819,0.0634,0.00101,390,392
Basketball,557,0.825,0.0656,0.00092,373,427
Basketball,558,1.196,0.0514,0.00123,401,401
